N,runtime
1260,30.284
1261,30.275
1262,30.293
1263,30.269
1264,30.294
1265,30.313
1266,30.298
1267,30.317
1268,30.318
1269,30.356
1270,30.352
1271,30.382
1272,30.425
1273,30.434
1274,30.438
1275,30.461
1276,30.424
1277,30.429
1278,30.497
1279,30.772
1280,30.789
1281,30.811
1282,30.81
1283,30.797
1284,30.767
1285,30.775
1286,30.823
1287,30.808
1288,30.87
1289,30.82
1290,30.879
1291,30.894
1292,30.919
1293,30.941
1294,30.934
1295,30.944
1296,30.947
1297,30.958
1298,30.985
1299,31.009
1300,30.996
1301,31.002
1302,31.012
1303,31.034
1304,31.066
1305,31.042
1306,31.057
1307,31.036
1308,31.084
1309,31.108
1310,31.092
1311,31.079
1312,31.102
1313,31.087
1314,31.143
1315,31.096
1316,31.15
1317,31.14
1318,31.136
1319,31.165
1320,31.156
1321,31.164
1322,31.216
1323,31.166
1324,31.22
1325,31.243
1326,31.222
1327,31.224
1328,31.269
1329,31.253
1330,31.256
1331,31.277
1332,31.253
1333,31.282
1334,31.33
1335,31.304
1336,31.375
1337,31.382
1338,31.345
1339,31.343
1340,31.363
1341,31.373
1342,31.404
1343,31.423
1344,31.43
1345,31.4
1346,31.401
1347,31.397
1348,31.418
1349,31.456
1350,31.417
1351,31.507
1352,31.467
1353,31.469
1354,31.49
1355,31.475
1356,31.518
1357,31.555
1358,31.527
1359,31.549
1360,31.554
1361,31.581
1362,31.525
1363,31.605
1364,31.558
1365,31.617
1366,31.611
1367,31.608
1368,31.632
1369,31.609
1370,31.642
1371,31.671
1372,31.651
1373,31.681
1374,31.697
1375,31.696
1376,31.693
1377,31.709
1378,31.762
1379,31.74
1380,31.741
1381,31.752
1382,31.799
1383,31.749
1384,31.8
1385,31.802
1386,31.788
1387,31.828
1388,31.855
1389,31.834
1390,31.835
1391,31.857
1392,31.861
1393,31.878
1394,31.88
1395,31.892
1396,31.896
1397,31.899
1398,31.899
1399,31.95
1400,31.96
1401,31.929
1402,31.991
1403,31.987
1404,31.957
1405,31.989
1406,31.993
1407,32.056
1408,32.03
1409,31.99
1410,32.003
1411,32.019
1412,32.055
1413,32.091
1414,32.072
1415,32.125
1416,32.115
1417,32.11
1418,32.132
1419,32.11
1420,32.181
1421,32.138
1422,32.133
1423,32.138
1424,32.211
1425,32.181
1426,32.198
1427,32.168
1428,32.184
1429,32.193
1430,32.22
1431,32.227
1432,32.24
1433,32.25
1434,32.259
1435,32.229
1436,32.297
1437,32.295
1438,32.325
1439,32.263
1440,32.287
1441,32.328
1442,32.332
1443,32.347
1444,32.361
1445,32.343
1446,32.381
1447,32.426
1448,32.377
1449,32.4
1450,32.42
1451,32.458
1452,32.426
1453,32.436
1454,32.443
1455,32.489
1456,32.473
1457,32.503
1458,32.489
1459,32.503
1460,32.495
1461,32.493
1462,32.489
1463,32.534
1464,32.534
1465,32.523
1466,32.564
1467,32.588
1468,32.568
1469,32.583
1470,32.623
1471,32.601
1472,32.584
1473,32.659
1474,32.635
1475,32.633
1476,32.618
1477,32.649
1478,32.675
1479,32.685
1480,32.663
1481,32.649
1482,32.683
1483,32.669
1484,32.696
1485,32.698
1486,32.698
1487,32.704
1488,32.699
1489,32.692
1490,32.781
1491,32.768
1492,32.794
1493,32.751
1494,32.801
1495,32.812
1496,32.845
1497,32.817
1498,32.834
1499,32.812
1500,32.869
1501,32.836
1502,32.871
1503,32.904
1504,32.851
1505,32.858
1506,32.885
1507,32.88
1508,32.915
1509,32.958
1510,32.905
1511,33.005
1512,32.971
1513,33.002
1514,32.97
1515,33.005
1516,33.01
1517,32.992
1518,33.035
1519,33.034
1520,33.028
1521,33.026
1522,33.073
1523,33.092
1524,33.048
1525,33.083
1526,33.109
1527,33.116
1528,33.109
1529,33.139
1530,33.099
1531,33.171
1532,33.166
1533,33.143
1534,33.172
1535,33.234
1536,33.219
1537,33.202
1538,33.195
1539,33.236
1540,33.261
1541,33.263
1542,33.24
1543,33.274
1544,33.261
1545,33.28
1546,33.338
1547,33.276
1548,33.295
1549,33.271
1550,33.341
1551,33.315
1552,33.376
1553,33.346
1554,33.362
1555,33.372
1556,33.369
1557,33.389
1558,33.404
1559,33.423
1560,33.416
1561,33.424
1562,33.421
1563,33.425
1564,33.423
1565,33.495
1566,33.462
1567,33.46
1568,33.468
1569,33.544
1570,33.473
1571,33.52
1572,33.549
1573,33.541
1574,33.53
1575,33.571
1576,33.575
1577,33.583
1578,33.561
1579,33.543
1580,33.581
1581,33.634
1582,33.566
1583,33.644
1584,33.645
1585,33.646
1586,33.648
1587,33.657
1588,33.691
1589,33.683
1590,33.696
1591,33.721
1592,33.745
1593,33.694
1594,33.729
1595,33.758
1596,33.794
1597,33.763
1598,33.75
1599,33.796
1600,33.764
1601,33.827
1602,33.814
1603,33.824
1604,33.827
1605,33.825
1606,33.865
1607,33.872
1608,33.882
1609,33.928
1610,33.899
1611,33.911
1612,33.936
1613,33.936
1614,33.963
1615,33.961
1616,33.939
1617,34
1618,34.017
1619,33.969
1620,34.005
1621,33.985
1622,34.033
1623,34.043
1624,34.059
1625,34.034
1626,34.039
1627,34.057
1628,34.073
1629,34.065
1630,34.11
1631,34.088
1632,34.106
1633,34.167
1634,34.128
1635,34.152
1636,34.156
1637,34.153
1638,34.147
1639,34.188
1640,34.138
1641,34.189
1642,34.217
1643,34.217
1644,34.182
1645,34.212
1646,34.208
1647,34.238
1648,34.247
1649,34.239
1650,34.246
1651,34.28
1652,34.3
1653,34.254
1654,34.361
1655,34.29
1656,34.329
1657,34.39
1658,34.318
1659,34.342
1660,34.37
1661,34.363
1662,34.411
1663,34.377
1664,34.405
1665,34.394
1666,34.408
1667,34.417
1668,34.428
1669,34.416
1670,34.496
1671,34.462
1672,34.448
1673,34.498
1674,34.499
1675,34.51
1676,34.515
1677,34.476
1678,34.504
1679,34.501
1680,34.589
1681,34.54
1682,34.57
1683,34.594
1684,34.628
1685,34.62
1686,34.634
1687,34.611
1688,34.633
1689,34.61
1690,34.626
1691,34.698
1692,34.647
1693,34.642
1694,34.706
1695,34.654
1696,34.719
1697,34.693
1698,34.71
1699,34.755
1700,34.737
1701,34.699
1702,34.739
1703,34.741
1704,34.768
1705,34.815
1706,34.737
1707,34.766
1708,34.746
1709,34.798
1710,34.817
1711,34.817
1712,34.826
1713,34.839
1714,34.862
1715,34.878
1716,34.862
1717,34.908
1718,34.915
1719,34.904
1720,34.95
1721,34.97
1722,34.941
1723,34.899
1724,34.983
1725,34.974
1726,34.958
1727,34.985
1728,34.956
1729,34.964
1730,35.016
1731,35.022
1732,35.037
1733,35.036
1734,35.037
1735,35.056
1736,35.08
1737,35.07
1738,35.048
1739,35.078
1740,35.121
1741,35.087
1742,35.159
1743,35.174
1744,35.192
1745,35.147
1746,35.169
1747,35.232
1748,35.195
1749,35.215
1750,35.224
1751,35.203
1752,35.223
1753,35.214
1754,35.261
1755,35.283
1756,35.285
1757,35.341
1758,35.335
1759,35.344
1760,35.416
1761,35.376
1762,35.407
1763,35.419
1764,35.469
1765,35.43
1766,35.432
1767,35.442
1768,35.438
1769,35.466
1770,35.51
1771,35.502
1772,35.501
1773,35.542
1774,35.525
1775,35.51
1776,35.53
1777,35.56
1778,35.554
1779,35.552
1780,35.537
1781,35.586
1782,35.626
1783,35.637
1784,35.633
1785,35.598
1786,35.622
1787,35.627
1788,35.636
1789,35.661
1790,35.645
1791,35.654
1792,35.7
1793,35.689
1794,35.689
1795,35.713
1796,35.753
1797,35.733
1798,35.729
1799,35.71
1800,35.785
1801,35.813
1802,35.775
1803,35.782
1804,35.775
1805,35.754
1806,35.81
1807,35.791
1808,35.901
1809,35.846
1810,35.867
1811,35.87
1812,35.881
1813,35.911
1814,35.877
1815,35.916
1816,35.91
1817,35.961
1818,35.951
1819,35.972
1820,35.989
1821,35.975
1822,35.99
1823,35.999
1824,36.045
1825,35.996
1826,36.044
1827,36.071
1828,36.044
1829,36.108
1830,36.101
1831,36.115
1832,36.125
1833,36.142
1834,36.168
1835,36.197
1836,36.212
1837,36.203
1838,36.236
1839,36.226
1840,36.248
1841,36.259
1842,36.239
1843,36.31
1844,36.319
1845,36.315
1846,36.313
1847,36.341
1848,36.341
1849,36.421
1850,36.386
1851,36.387
1852,36.391
1853,36.398
1854,36.427
1855,36.449
1856,36.457
1857,36.509
1858,36.431
1859,36.501
1860,36.491
1861,36.49
1862,36.517
1863,36.563
1864,36.52
1865,36.505
1866,36.567
1867,36.583
1868,36.546
1869,36.577
1870,36.555
1871,36.632
1872,36.599
1873,36.577
1874,36.578
1875,36.58
1876,36.629
1877,36.722
1878,36.675
1879,36.683
1880,36.708
1881,36.745
