N,runtime,cp_times
942,26.529,1845
943,26.595,1845
944,26.584,1845
945,26.58,1845
946,26.589,1845
947,26.584,1845
948,26.64,1845
949,26.621,1845
950,26.687,1845
951,26.687,1845
952,26.672,1844
953,26.687,1844
954,26.681,1844
955,26.682,1844
956,26.702,1844
957,26.723,1844
958,26.727,1844
959,26.764,1844
960,26.751,1844
961,26.8,1844
962,26.791,1844
963,26.831,1844
964,26.823,1844
965,26.827,1844
966,26.849,1844
967,26.868,1844
968,26.849,1844
969,26.908,1844
970,26.902,1844
971,26.921,1844
972,26.93,1844
973,26.97,1844
974,26.965,1844
975,26.978,1844
976,26.99,1844
977,27.002,1844
978,27.04,1844
979,27.041,1844
980,27.051,1844
981,27.062,1844
982,27.047,1843
983,27.12,1843
984,27.139,1843
985,27.148,1842
986,27.135,1842
987,27.157,1842
988,27.149,1842
989,27.205,1842
990,27.148,1842
991,27.21,1842
992,27.219,1842
993,27.201,1842
994,27.267,1842
995,27.248,1842
996,27.236,1842
997,27.269,1842
998,27.299,1842
999,27.27,1842
1000,27.317,1842
1001,27.324,1842
1002,27.335,1842
1003,27.328,1842
1004,27.39,1842
1005,27.36,1842
1006,27.346,1842
1007,27.393,1842
1008,27.402,1842
1009,27.406,1842
1010,27.348,1842
1011,27.375,1842
1012,27.398,1842
1013,27.44,1842
1014,27.446,1842
1015,27.444,1842
1016,27.461,1842
1017,27.468,1842
1018,27.424,1842
1019,27.445,1842
1020,27.487,1842
1021,27.495,1842
1022,27.5,1842
1023,27.5,1842
1024,27.546,1842
1025,27.564,1841
1026,27.561,1841
1027,27.575,1841
1028,27.635,1841
1029,27.643,1841
1030,27.676,1841
1031,27.645,1841
1032,27.64,1841
1033,27.679,1841
1034,27.697,1841
1035,27.696,1841
1036,27.685,1841
1037,27.739,1841
1038,27.718,1841
1039,27.711,1841
1040,27.735,1841
1041,27.792,1841
1042,27.788,1841
1043,27.783,1841
1044,27.83,1841
1045,27.819,1841
1046,27.853,1841
1047,27.849,1841
1048,27.866,1841
1049,27.83,1841
1050,27.881,1841
1051,27.883,1841
1052,27.913,1841
1053,27.898,1841
1054,27.94,1841
1055,27.926,1841
1056,27.972,1841
1057,27.989,1841
1058,27.991,1841
1059,28.048,1841
1060,28.006,1841
1061,28.035,1841
1062,28.045,1841
1063,28.051,1841
1064,28.063,1841
1065,28.053,1841
1066,28.091,1841
1067,28.054,1841
1068,28.08,1841
1069,28.1,1841
1070,28.136,1841
1071,28.127,1841
1072,28.15,1841
1073,28.168,1841
1074,28.153,1841
1075,28.185,1841
1076,28.173,1841
1077,28.168,1841
1078,28.188,1841
1079,28.218,1841
1080,28.197,1841
1081,28.201,1841
1082,28.228,1841
1083,28.257,1841
1084,28.26,1841
1085,28.257,1841
1086,28.282,1840
1087,28.312,1840
1088,28.296,1840
1089,28.361,1840
1090,28.335,1840
1091,28.399,1840
1092,28.375,1840
1093,28.407,1840
1094,28.419,1840
1095,28.412,1840
1096,28.428,1840
1097,28.472,1840
1098,28.446,1840
1099,28.464,1840
1100,28.46,1840
1101,28.48,1840
1102,28.655,1840
1103,28.515,1840
1104,28.503,1840
1105,28.538,1840
1106,28.559,1840
1107,28.576,1840
1108,28.551,1840
1109,28.548,1840
1110,28.579,1840
1111,28.612,1840
1112,28.592,1840
1113,28.597,1840
1114,28.633,1840
1115,28.663,1840
1116,28.636,1840
1117,28.633,1840
1118,28.674,1840
1119,28.673,1840
1120,28.703,1840
1121,28.734,1840
1122,28.711,1840
1123,28.74,1840
1124,28.769,1840
1125,28.764,1840
1126,28.787,1840
1127,28.763,1840
1128,28.77,1840
1129,28.813,1840
1130,28.812,1840
1131,28.812,1840
1132,28.806,1840
1133,28.811,1840
1134,28.851,1840
1135,28.833,1840
1136,28.838,1840
1137,28.855,1840
1138,28.893,1840
1139,28.897,1840
1140,28.919,1840
1141,28.94,1840
1142,28.966,1840
1143,28.957,1840
1144,28.977,1840
1145,29.024,1840
1146,28.995,1840
1147,28.999,1840
1148,28.98,1840
1149,29.017,1840
1150,29.016,1840
1151,29.031,1840
1152,29.08,1840
1153,29.056,1840
1154,29.056,1840
1155,29.055,1840
1156,29.054,1840
1157,29.03,1840
1158,29.084,1840
1159,29.12,1840
1160,29.105,1840
1161,29.161,1840
1162,29.108,1840
1163,29.135,1840
1164,29.163,1840
1165,29.144,1840
1166,29.158,1840
1167,29.205,1840
1168,29.19,1840
1169,29.168,1840
1170,29.194,1840
1171,29.168,1840
1172,29.226,1840
1173,29.22,1840
1174,29.231,1840
1175,29.224,1840
1176,29.259,1840
1177,29.258,1840
1178,29.277,1840
1179,29.265,1840
1180,29.3,1840
1181,29.256,1840
1182,29.307,1840
1183,29.312,1840
1184,29.361,1840
1185,29.383,1840
1186,29.35,1840
1187,29.344,1840
1188,29.372,1840
1189,29.408,1840
1190,29.395,1840
1191,29.474,1840
1192,29.503,1840
1193,29.454,1840
1194,29.505,1840
1195,29.501,1840
1196,29.485,1840
1197,29.547,1840
1198,29.582,1840
1199,29.563,1840
1200,29.58,1840
1201,29.595,1840
1202,29.613,1840
1203,29.646,1840
1204,29.582,1840
1205,29.639,1840
1206,29.637,1840
1207,29.657,1840
1208,29.647,1840
1209,29.69,1840
1210,29.667,1840
1211,29.772,1840
1212,29.728,1840
1213,29.708,1840
1214,29.788,1840
1215,29.757,1840
1216,29.772,1840
1217,29.744,1840
1218,29.749,1840
1219,29.844,1840
1220,29.796,1840
1221,29.793,1840
1222,29.819,1840
1223,29.842,1840
1224,29.832,1840
1225,29.849,1840
1226,29.878,1840
1227,29.873,1840
1228,29.876,1840
1229,29.92,1840
1230,29.948,1840
1231,29.929,1840
1232,29.956,1840
1233,29.917,1840
1234,29.988,1840
1235,29.954,1840
1236,29.998,1840
1237,30.003,1840
